DAFTAR RISIKO,,,,,,,,,,,,,,,,,,,,
RUMAH SAKIT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
No,Kegiatan,Tujuan Kegiatan,Kode Risiko,Kategori Risiko,Ruang Lingkup,Pernyataan Risiko,Sebab,UC/C,Probality,Dampak,Pengendalian Yang Ada,,,Tingkat Risiko,Peringkat Risiko,Rencana Pengendalian,,Pemilik Risiko,PJ Tindak Lanjut,
190,pengecekan kran kamar mandi,Menghindari terrjadinya cidera,,Operasional,Fasilitas,Karena penanda air panas & dingin sudah pudar mungkin saja pemakai tidak melihat sehingga mengakibatkan kesiram air panas,Penanda air panas & dingin pudar,C,3,3,koordinasi dengan IPSRS bila tanda tanda panas dingin sudah pudar,Ada,Efektif,9,SEDANG,Koordinasi dengan IPSRS,Sesuai kondisi,Perawat dan bidan,Manajer GA,Keperawatan
191,Pengecekan Lift,Menghindari terjadinya cidera dan terkunci,,Operasional,Fasilitas,karena tidak berfungsi tombol indikator di dalam lift mungkin saja mengalami kerusakan /tidak berfungsi liftnya sehingga mengakibatkan penumpang terkunci di dalam lift,tidak berfungsi tombol indikator di dalam lift,C,2,2,koordinasi dengan IPSRS untuk pengecekan lift,Ada,Efektif,4,RENDAH,Koordinasi dengan PPI,Sesuai kondisi,Perawat dan bidan,PPI,Keperawatan
192,Melakukan tindakan invasif/asisten,menghindari terpapar cairan tubuh,,Kepatuhan,Nakes lain,Karena tidak menggunakan APD saat melakukan /asisten tindakan invasif yang benar mungkin saja terpapar cairan tubuh pasien,Tidak menggunakan APD saat tindakan invasif,C,3,3,Sosilaisiasi SPO secara berkala,Ada,Efektif,9,SEDANG,"Medikal cek up, kkordinasi dengan SDM",Sesuai jadwal SDM,Perawat dan bidan,Manajer SDM,Keperawatan
193,Pemenuhan minum air putih,Untuk memenuhi cairan dalam tubuh,,Kepatuhan,Nakes lain,"Karena sering minum air yang berasa (Manis, dll) mungkin saja kelebihan gula dalam darah mengakibatkan obesitas","Sering minum air yang berasa (manis, dll)",C,4,3,Koordinasi dengan ahli GIZI untuk internal training,Ada,Efektif,12,TINGGI,Koordinasi dengan K3,Sesuai kebutuhan,Perawat dan bidan,Manajer GA,Keperawatan
194,Radiasi cahaya komputer,Mencegah terjadinya rusak pada mata,,Kepatuhan,Nakes lain,Karena efek cahaya komputer mungkin saja mengakibatkan gangguan penglihatan sehingga menyebankan mata minus /silinder,Efek cahaya komputer,C,2,3,Sosilaisiasi SPO secara berkala,Ada,Efektif,6,SEDANG,Data perawat dan bidan,Sesuai kebutuhan,Perawat dan bidan,Manajer SDM,Keperawatan
195,Membuat daftar karyawan kontrak,Mengecek masa berlaku kontrak,,Kebijakan,Nakes lain,Karena status karyawan kontrak mungkin saja banyak karyawan yang keluar sehingga kualitas pelayanan tidak merata,status karyawan kontrak,C,5,5,Mendata masa kerja perawat dan bidan diatas 5 tahun,Ada,Efektif,25,SANGAT TINGGI,Data perawat dan bidan,Sesuai kebutuhan,Perawat dan bidan,Manajer keperawatan,Keperawatan
196,Keterampilam pemasangan infus perawat,Teknik dan keterampilan perawat dalam memasang infus merata seluruh perawat,,Operasional,Bisnis RS,Karena tidak merata keterampilan perawat dalam memasang infus mungkin saja tindakan pemasangan infus mengalami kegagalan (lebih dari 1x) sehingga pasien mendapatkan pengobatan delay,Kompetensi yang berbeda,C,5,5,Pelatihan secara berkala,Ada,Efektif,25,SANGAT TINGGI,Audit kepatuhan,3x/ Tahun,Perawat dan bidan,Manajer keperawatan,Keperawatan
197,Pemberian obat injeksi dan orak kepada pasien,Tepat dalam memberikan obat kepada pasien,,Kepatuhan,Pasien,Karena tidak melakukan pengecekan secara benar (5 Benar) dalam pemberian obat mungkin saja mengalami kesalahan sehingga pasien mendapatkan obat yang kurang tepat,Tidak melakukan pengecekan 5 Benar,C,4,4,Sosilaisiasi SPO secara berkala,,Efektif,16,SANGAT TINGGI,Audit kepatuhan,3x/Tahun,Perawat dan bidan,Manajer keperawatan,Keperawatan
198,Koordinasi dengan IPSRS terkait pembersihan ruangan poliklinik di rawat jalan,Ruangan poliklinik selalu siap pakai saat jadwal praktek dokter,,Operasional,Fasilitas,"Karena apabila tidak dilakukan pembersihan rutin, mungkin saja saat akan dipakai ternyata ada tumpahan air atau sampah berserakan menyebabkan ada yang terpeleset atau ruangan jadi menyebarkan infeksi nosokomial",Tidak dilakukannya pembersihan rutin ruangan poliklinik,C,1,2,Melakukan koordinasi dengan bagian IPSRS mengenai pembersihan ruangan secara rutin,Ada,Efektif,2,SANGAT RENDAH,Melakukan koordinasi dengan bagian IPSRS mengenai pembersihan ruangan secara rutin,Sebelum dan sesudah melakukan pelayanan,"Pasien, perawat, dokter",Koordinator,Rawat Jalan
199,Melakukan komunikasi yang efektif,Tidak terjadinya komunikasi yang tidak efektif dan pesan tersampaikan dengan baik,,Reputasi,Pasien,"Karena apabila komunikasi tidak efektif, mungkin saja bisa menyebabkan penyampaiannya jadi tidak baik sehingga tujuannya tidak tercapai bahkan bisa menimbulkan komplain","Staff tidak percaya diri, kurang pengetahuan sehingga tidak melakukan komunikasi yang efektif",C,3,3,Melakukan sosialisasi mengenai komunikasi efektif,Ada,Efektif,9,SEDANG,Melakukan sosialisasi mengenai komunikasi efektif,Sebelum dan sesudah melakukan pelayanan,"Pasien, perawat, dokter",Koordinator,Rawat Jalan
200,Identifikasi Pasien,Tidak terjadi kesalahan dalam pemberian terapi atau tindak lanjut,,Kepatuhan,Pasien,"Karena apabila tidak melakukan identifikasi dengan benar, mungkin bisa terjadi salah dalam pemberian terapi atau tindak lanjut",Tidak di lakukannya identifikasi pasien,C,3,3,Melakukan sosialisasi mengenai identifikasi pasien,Ada,Efektif,9,SEDANG,Melakukan sosialisasi mengenai identifikasi pasien,Sebelum melakukan pelayanan,"Pasien, perawat, dokter",Koordinator,Rawat Jalan
201,Skrining risiko pasien jatuh,Tidak terjadinya pasien jatuh di area lingkungan rumah sakit,,Kepatuhan,Pasien,"Karena apabila tidak melakukan identifikasi risiko jatuh, mungkin pasien bisa saja terjatuh di area lingkungan rumah sakit",Tidak melakukan skrining risiko jatuh pada pasien,C,2,2,Melakukan sosialisasi mengenai resiko jatuh,Ada,Efektif,4,RENDAH,Melakukan sosialisasi mengenai resiko jatuh,Sebelum dan sesudah melakukan pelayanan,"Pasien, perawat, dokter",Koordinator,Rawat Jalan
202,Menghubungi dokter spesialis 2 jam sebelum jam praktek,Mencegah pasien menunggu lama di poliklinik,,Operasional,Pasien,"Karena dokter spesialis bisa datang terlambat, masih ada tindakan atau pasien di rumah sakit lain, sehingga pasien akan menunggu lama di poliklinik",Dokter datang terlambat,C,1,1,Melakukan sosialisasi mengenai SPO menghubungi dokter spesialis sebelum praktek,Ada,Efektif,1,SANGAT RENDAH,Melakukan sosialisasi mengenai SPO menghubungi dokter spesialis sebelum praktek,Sebelum melakukan pelayanan,"Pasien, perawat, dokter",Koordinator,Rawat Jalan
203,Pemanggilan berdasarkan nomor antrian atau bookingan,Pasien antri sesuai nomor urut pendaftaran,,Operasional,Pasien,"Karena apabila tidak dilakukan pemanggilan berdasarkan nomor urut pendaftaran, mungkin saja pasien tidak mau antri dan minta di dahulukan",Pasien tidak mau antri,C,1,1,Melakukan sosialisasi mengenai pendaftaran dan pemanggilan sesuai urutan,Ada,Efektif,1,SANGAT RENDAH,Melakukan sosialisasi mengenai pendaftaran dan pemanggilan sesuai urutan,Saat melakukan pelayanan,"Pasien, perawat, dokter",Koordinator,Rawat Jalan
204,Koordinasi dengan IPSRS memberikan tanda atau pembatas di area poliklinik,Mencegah pasien tertabrak pintu/ tembok/ kursi,,Reputasi,Pasien,"Karena tidak ada penanda/ pembatas di area pintu/ tembok/ kursi, mungkin saja pasien akan menabrak pintu/ tembok/ kursi",Tidak ada penanda/ pembatas di area poliklinik,C,2,2,Melakukan koordinasi dengan IPSRS untuk membuat tanda-tanda peringatan di tempat tertentu,Ada,Efektif,4,RENDAH,Melakukan koordinasi dengan IPSRS untuk membuat tanda-tanda peringatan di tempat tertentu,Sebelum dan sesudah melakukan pelayanan,"Pasien, perawat, dokter",Koordinator,Rawat Jalan
205,Sesuai dalam pemakaian APD,Tidak terjadi infeksi,,Kepatuhan,Staf Medis,"Apabila pemakaian APD tidak sesuai, mungkin bisa terjadi paparan infeksi silang, terpapar cairan tubuh pasien yang terinfeksi",Tidak sesuainya pemakaian APD,C,3,3,"Melakukan sosialisasi mengenai pemakaian APD, resiko dan tindakan yang perlu dilakukan",Ada,Efektif,9,SEDANG,"Melakukan sosialisasi mengenai pemakaian APD, resiko dan tindakan yang perlu dilakukan",Sebelum dan sesudah melakukan pelayanan,"Pasien, perawat, dokter",Koordinator,Rawat Jalan
206,Pengecekan alat atau instrumen perawatan luka atau tindakan dalam keadaan sudah di steril,Perawatan luka dan tindakan di rawat jalan semua dilakukan selain dengan teknik steril dan menggunakan alat-alat steril,,Kepatuhan,Fasilitas,"Karena alat atau instrumen dalam keadaan sudah tidak steril bisa saja terjadi, mungkin karena tidak adanya pengecekan",Tidak dilakukannya pengecekan alat atau instrumen yang ada di rawat jalan,C,1,1,Melakukan sosialisasi mengenai tindakan sterilisasi,Ada,Efektif,1,SANGAT RENDAH,Melakukan sosialisasi mengenai tindakan sterilisasi,Sebelum dan sesudah melakukan pelayanan,Pasien,Koordinator,Rawat Jalan
207,Pelatihan internal kepada setiap petugas yang ada di rawat jalan setiap ada barang baru atau petugas baru,Tidak terjadinya petugas tidak dapat mengoperasikan alat yang ada di rawat jalan,,Operasional,Staf Medis,"Karena petugas tidak tahu cara pengoperasian alat itu bisa terjadi, mungkin karena itu alat baru atau petugas tersebut baru di rawat jalan",Kurang pengetahuan petugas,C,2,2,Melakukan sosialisasi mengenai alat-alat baru,Ada,Efektif,4,RENDAH,Melakukan sosialisasi mengenai alat-alat baru,Sebelum dan sesudah melakukan pelayanan,"Pasien, perawat, dokter",Koordinator,Rawat Jalan
208,Koordinasi dengan IPSRS perawatan rutin dan kalibrasi rutin alat medis,Alat medis yang ada di unit rawat jalan siap digunakan,,Operasional,Fasilitas,"Karena apabila alat tidak bisa digunakan bisa saja terjadi, mungkin karena tidak pernah dicek",Tidak dilakukannya pengecekan alat rutin,C,2,2,Melakukan koordinasi dengan bagian IPSRS mengenai perawatan rutin alat-alat yang ada di poliklinik,Ada,Efektif,4,RENDAH,Melakukan koordinasi dengan bagian IPSRS mengenai perawatan rutin alat-alat yang ada di poliklinik,Sebelum dan sesudah melakukan pelayanan,Perawat,Koordinator,Rawat Jalan
209,Kepatuhan melaksanakan 5 moment cuci tangan,Tidak terjadi infeksi nosokomial,,Kepatuhan,Staf Medis,"Karena petugas tidak melakukan cuci tangan dengan benar, mungkin saja menyebabkan risiko penularan penyakit",Tidak dilakukannya 5 moment cuci tangan,C,2,2,Melakukan sosialisasi mengenai 5 momen cuci tangan,Ada,Efektif,4,RENDAH,Melakukan sosialisasi mengenai 5 momen cuci tangan,Sebelum dan sesudah melakukan pelayanan,"Pasien, perawat, dokter",Koordinator,Rawat Jalan
210,Teknik Keselamatan Penggunaan jarum,Tidak terjadi tertusuk jarum,,Kepatuhan,Staf Medis,"Apabila tidak mengetahui teknik keselamatan pada penggunaan jarum, mungkin saja terjadi kejadian tertusuk jarum",Tidak dilakukannya teknik keselamatan penggunaan jarum,C,2,2,"Melakukan sosialisasi mengenai pemakaian APD, resiko dan tindakan yang perlu dilakukan",Ada,Efektif,4,RENDAH,"Melakukan sosialisasi mengenai pemakaian APD, resiko dan tindakan yang perlu dilakukan",Sebelum dan sesudah melakukan pelayanan,"Perawat, dokter",Koordinator,Rawat Jalan
211,Teknik Aseptik,Tidak terjadinya infeksi nosokomial,,Kepatuhan,Staf Medis,"Apabila tidak mengetahui teknik aseptik, mungkin saja bisa terjadi infeksi nosokomial",Tidak dilakukannya teknik aseptik,C,1,1,Melakukan sosialisasi mengenai teknik aseptik,Ada,Efektif,1,SANGAT RENDAH,Melakukan sosialisasi mengenai teknik aseptik,Sebelum dan sesudah melakukan pelayanan,"Perawat, dokter",Koordinator,Rawat Jalan
212,Perencanaan dan amprah barang farmasi untuk kebutuhan di rawat jalan,Barang farmasi di rawat jalan tidak ada yang kosong (pelayanan dapat berjalan dengan lancar),,Operasional,Fasilitas,Barang dari farmasi mungkin saja kosong karena kosong distributor atau terjadi salah perhitungan perencanaan sehingga pasien mengalami keterlambatan penanganan (harus mencari ke unit yang masih ada persediaannya),Tidak dilakukannya perencanaan dan amprah barang farmasi,C,3,3,Melakukan sosialisasi mengenai perencanaan barang farmasi yang dibutuhkan,Ada,Efektif,9,SEDANG,Melakukan sosialisasi mengenai perencanaan barang farmasi yang dibutuhkan,Sebelum dan sesudah melakukan pelayanan,Perawat,Koordinator,Rawat Jalan
213,Koordinasi dengan SIMRS dalam penggunaan IT rumah sakit,Tidak terjadinya error system IT di rawat jalan dan penggunaan digital bisa maksimal,,Operasional,Fasilitas,"Karena jaringan IT eror bisa saja terjadi, dan dapat mengakibatkan penundaan pelayanan, mungkin saja terjadi karena kesalahan human eror, sehingga petugas tidak cepat dalam penginputan, data tidak sesuai, lama dalam pelayanan",Jaringan tidak maksimal dan user kurang pengetahuan dalam penggunaan IT rumah sakit,C,3,3,Melakukan koordinasi dengan bagian SIMRS,Ada,Efektif,9,SEDANG,Melakukan koordinasi dengan bagian SIMRS,Sebelum dan sesudah melakukan pelayanan,"Perawat, dokter",Koordinator,Rawat Jalan
214,Penginputan tanda-tanda vital pasien rawat jalan,Dokter mengetahui tanda-tanda vital pasien,,Kepatuhan,,Karena perawat RJ tidak melakukan penginputan tanda-tanda vital di Rekam medis elektronik mungkin saja dokter pemeriksa tidak mengetahui hasil tanda -tanda vital pasien,Tidak melakukan penginputan tanda-tanda vital di rekam medis elektronik,C,2,2,Melakukan sosialisasi mengenai assesment awal pasien meliputi tanda-tanda vital pasien,Ada,Efektif,4,RENDAH,Melakukan sosialisasi mengenai assesment awal pasien meliputi tanda-tanda vital pasien,Sebelum dan sesudah melakukan pelayanan,"Perawat, dokter",Koordinator,Rawat Jalan
215,Skrining awal pasien rawat jalan,Untuk melakukan pemillahan pasien,,Kepatuhan,Pasien,Karena tida ada perawat yang stand by di Nurse station untuk melakukan skrining mungkin saja pemilahan pasien kurang tepat,Tidak ada perawat yang standby di Nurse station poliklinik,C,3,3,Melakukan sosialisasi mengenai assesment awal pasien dan melakukan pengaturan tenaga,Ada,Efektif,9,SEDANG,Melakukan sosialisasi mengenai assesment awal pasien dan melakukan pengaturan tenaga,Sebelum dan sesudah melakukan pelayanan,Perawat,Koordinator,Rawat Jalan
216,Tindakan ECG pasien rawat jalan dengan jaminan asuransi,Pemeriksaan penunjang pada pasien untuk penentuan diagnosa,,Kebijakan,Bisnis RS,"Karena pasien asuransi dilakukan ECG di poliklinik, hasilnya diberikan kepada pasien mungkin saja bagian penagihan asuransi kesulitan untuk melakukan claim ke asuransi karena tidak ada di berkas pasien sehingga menyebabkan resiko gagal klaim",Tidak ada berkas (ECG) pasien di rekam medis pasien rawat jalan,C,2,2,Melakukan sosialisasi mengenai pemeriksaan EKG,Ada,Efektif,4,RENDAH,Melakukan sosialisasi mengenai pemeriksaan EKG,Sebelum melakukan pelayanan,"Perawat, dokter",Koordinator,Rawat Jalan
217,Stimulasi Ovarium Terkontrol,Memproduksi sel telur matang dalam jumlah cukup untuk proses fertilisasi.,,Operasional,Nakes lain,Terjadi Ovarian Hyperstimulation Syndrome (OHSS) berat pada pasien akibat dosis obat yang tidak tepat.,"Dosis hormon yang berlebihan, monitoring respons pasien yang kurang intensif, atau kondisi pasien yang sangat sensitif.",UC,2,2,"Memberikan penjelasan mengenai tindakan yang akan dilakukan kepada pasien meliputi resiko, efek samping yang mungkin akan muncul maupun efek yang diharapkan, dan menuangkan dalam SPO",Tidak,Efektif,4,RENDAH,"Memberikan penjelasan mengenai tindakan yang akan dilakukan kepada pasien meliputi resiko, efek samping yang mungkin akan muncul maupun efek yang diharapkan, dan menuangkan dalam SPO",Sebelum melakukan pelayanan,"Pasien, staf medis dan non medis",Koordinator,Rawat Jalan
218,Pengambilan Oosit (Ovum Pick-Up - OPU),Mengambil sel telur dari ovarium dengan aman dan efektif.,,Operasional,Staf Medis,Kerusakan oosit saat proses OPU atau kegagalan menemukan sel telur yang matang.,"Teknik aspirasi yang salah, kerusakan jarum OPU, kegagalan fungsi alat suction, atau waktu OPU yang tidak tepat.",C,2,3,"Memberikan penjelasan mengenai tindakan yang akan dilakukan kepada pasien meliputi resiko, efek samping yang mungkin akan muncul maupun efek yang diharapkan, dan menuangkan dalam SPO",Tidak,Efektif,6,SEDANG,"Memberikan penjelasan mengenai tindakan yang akan dilakukan kepada pasien meliputi resiko, efek samping yang mungkin akan muncul maupun efek yang diharapkan, dan menuangkan dalam SPO",Sebelum dan sesudah melakukan tindakan,"Pasien, staf medis dan non medis",Koordinator,Rawat Jalan
219,Laboratorium Embriologi (In Vitro Fertilization - IVF/ICSI),Mencapai pembuahan yang berhasil dan perkembangan embrio yang optimal.,,Operasional,Staf Medis,"Cross-contamination atau pertukaran spesimen (sel telur, sperma, embrio) antar pasien yang fatal.","Kurangnya sistem identifikasi ganda (double-check), human error oleh embriologis, labelisasi yang buruk, atau alur kerja yang tidak terstandar.",C,2,3,Melakukan sosialisasi mengenai identifikasi dalam pengambilan dan penyimpanan sampel.,Ada,Efektif,6,SEDANG,Melakukan sosialisasi mengenai identifikasi dalam pengambilan dan penyimpanan sampel.,Sebelum dan sesudah melakukan tindakan,"Pasien, staf medis dan non medis",Koordinator,Rawat Jalan
220,Transfer Embrio (Embryo Transfer - ET),Menanamkan embrio terbaik ke dalam rahim pada waktu yang tepat.,,Kebijakan,Bisnis RS,Kegagalan implantasi berulang akibat teknik transfer yang tidak optimal atau pemilihan embrio yang salah.,"Penilaian kualitas embrio yang tidak akurat, kesulitan akses serviks, penempatan kateter yang tidak tepat, atau kontraksi uterus pasca-ET.",C,2,3,"Memberikan penjelasan mengenai tindakan yang akan dilakukan kepada pasien meliputi resiko, efek samping yang mungkin akan muncul maupun efek yang diharapkan, dan menuangkan dalam SPO",Tidak,Efektif,6,SEDANG,"Memberikan penjelasan mengenai tindakan yang akan dilakukan kepada pasien meliputi resiko, efek samping yang mungkin akan muncul maupun efek yang diharapkan, dan menuangkan dalam SPO",Sebelum dan sesudah melakukan tindakan,"Pasien, staf medis dan non medis",Koordinator,Rawat Jalan
221,Penyimpanan Kriopreservasi (Pembekuan),"Mengawetkan sperma, oosit, atau embrio sisa untuk penggunaan masa depan.",,Operasional,Fasilitas,Kegagalan sistem penyimpanan (tangki nitrogen cair rusak) menyebabkan kematian jaringan/embrio.,"Kerusakan tangki penyimpanan, kegagalan monitoring suhu otomatis, bencana alam (gempa/banjir), atau kelalaian pengisian nitrogen cair.",UC,2,3,Membuat SPO perihal cara penyimpanan sampel jaringan/ embrio,Tidak,Efektif,6,SEDANG,Membuat SPO perihal cara penyimpanan sampel jaringan/ embrio,Sebelum melakukan pelayanan,"Pasien, staf medis dan non medis",Koordinator,Rawat Jalan
